image,latitude,longitude
FRAMES/LEFT\prise41L\2022_02_26_155500.jpg,48.57361099204648,7.507208214265703
FRAMES/LEFT\prise41L\2022_02_26_155510.jpg,48.5736137381782,7.507210960413527
FRAMES/LEFT\prise41L\2022_02_26_155520.jpg,48.57361649241493,7.507210980463647
FRAMES/LEFT\prise41L\2022_02_26_155530.jpg,48.57361651259165,7.507208256279858
FRAMES/LEFT\prise41L\2022_02_26_155540.jpg,48.573613785076134,7.507202777777778
FRAMES/LEFT\prise41L\2022_02_26_155550.jpg,48.573613794561545,7.507202777777778
FRAMES/LEFT\prise41L\2022_02_26_155600.jpg,48.57361380217677,7.507202777777778
FRAMES/LEFT\prise41L\2022_02_26_155610.jpg,48.57361655982906,7.507194524561644
FRAMES/LEFT\prise41L\2022_02_26_155620.jpg,48.573616567173765,7.507191766211604
FRAMES/LEFT\prise41L\2022_02_26_155630.jpg,48.57361381893673,7.507189005439005
FRAMES/LEFT\prise41L\2022_02_26_155640.jpg,48.573613823028055,7.50718624284662
FRAMES/LEFT\prise41L\2022_02_26_155650.jpg,48.573613826592556,7.507180721670383
FRAMES/LEFT\prise41L\2022_02_26_155700.jpg,48.57361383237043,7.507175188253901
FRAMES/LEFT\prise41L\2022_02_26_155710.jpg,48.573611073558354,7.50717518771619
FRAMES/LEFT\prise41L\2022_02_26_155720.jpg,48.5736110768218,7.5071806926813975
FRAMES/LEFT\prise41L\2022_02_26_155730.jpg,48.57360555555556,7.5071834536056095
FRAMES/LEFT\prise41L\2022_02_26_155740.jpg,48.57360279355246,7.507186205798025
FRAMES/LEFT\prise41L\2022_02_26_155750.jpg,48.57360831809872,7.507249741694484
FRAMES/LEFT\prise41L\2022_02_26_155800.jpg,48.573619371169734,7.507528826082029
FRAMES/LEFT\prise41L\2022_02_26_155810.jpg,48.573616610011335,7.507843936207501
FRAMES/LEFT\prise41L\2022_02_26_155820.jpg,48.573627668100904,7.508178493785151
FRAMES/LEFT\prise41L\2022_02_26_155830.jpg,48.57368847267463,7.508557091281388
FRAMES/LEFT\prise41L\2022_02_26_155840.jpg,48.573790764627496,7.509099097551479
FRAMES/LEFT\prise41L\2022_02_26_155850.jpg,48.57392349544748,7.509729708798018
FRAMES/LEFT\prise41L\2022_02_26_155900.jpg,48.574056343577624,7.510336169835572
FRAMES/LEFT\prise41L\2022_02_26_155910.jpg,48.57391256870829,7.510773534635879
FRAMES/LEFT\prise41L\2022_02_26_155920.jpg,48.57349214226634,7.5110449985970815
FRAMES/LEFT\prise41L\2022_02_26_155930.jpg,48.573196120590005,7.511571006490361
FRAMES/LEFT\prise41L\2022_02_26_155940.jpg,48.572767381298455,7.512281615957864
FRAMES/LEFT\prise41L\2022_02_26_155950.jpg,48.572183570275065,7.5130262778354675
FRAMES/LEFT\prise41L\2022_02_26_160000.jpg,48.57155816032968,7.513779343245489
FRAMES/LEFT\prise41L\2022_02_26_160010.jpg,48.5712117545292,7.514093603874415
FRAMES/LEFT\prise41L\2022_02_26_160020.jpg,48.570625286368845,7.514306167670536
FRAMES/LEFT\prise41L\2022_02_26_160030.jpg,48.5699636571154,7.514611107652292
FRAMES/LEFT\prise41L\2022_02_26_160040.jpg,48.56936560085864,7.514833035665963
FRAMES/LEFT\prise41L\2022_02_26_160050.jpg,48.56881664147141,7.514624210526316
FRAMES/LEFT\prise41L\2022_02_26_160100.jpg,48.56840180032734,7.514269366661393
FRAMES/LEFT\prise41L\2022_02_26_160110.jpg,48.56775851822504,7.51418489336663
FRAMES/LEFT\prise41L\2022_02_26_160120.jpg,48.567118644115816,7.514182506159803
FRAMES/LEFT\prise41L\2022_02_26_160130.jpg,48.56660054416603,7.514185639033972
FRAMES/LEFT\prise41L\2022_02_26_160140.jpg,48.56601410934744,7.514179599271403
FRAMES/LEFT\prise41L\2022_02_26_160150.jpg,48.56540184049079,7.513604056678196
FRAMES/LEFT\prise41L\2022_02_26_160200.jpg,48.56483003788468,7.5128712803712805
FRAMES/LEFT\prise41L\2022_02_26_160210.jpg,48.564250871080134,7.512118279569893
FRAMES/LEFT\prise41L\2022_02_26_160220.jpg,48.56365228515969,7.5113430502746095
FRAMES/LEFT\prise41L\2022_02_26_160230.jpg,48.56303279490945,7.5105827311469335
FRAMES/LEFT\prise41L\2022_02_26_160240.jpg,48.56228076923077,7.509864005433608
FRAMES/LEFT\prise41L\2022_02_26_160250.jpg,48.561556493506494,7.509303454879431
FRAMES/LEFT\prise41L\2022_02_26_160300.jpg,48.56121794317658,7.510044380587484
FRAMES/LEFT\prise42L\2022_02_26_160303.jpg,48.56115277777778,7.510286111111111
FRAMES/LEFT\prise42L\2022_02_26_160313.jpg,48.560812356979405,7.511427357825223
FRAMES/LEFT\prise42L\2022_02_26_160323.jpg,48.56059346567411,7.51273484084992
FRAMES/LEFT\prise42L\2022_02_26_160333.jpg,48.560548329022765,7.514143837306876
FRAMES/LEFT\prise42L\2022_02_26_160343.jpg,48.560572478124485,7.515587446631261
FRAMES/LEFT\prise42L\2022_02_26_160353.jpg,48.56073871265525,7.516785844148205
FRAMES/LEFT\prise42L\2022_02_26_160403.jpg,48.56095075757575,7.5179110087293886
FRAMES/LEFT\prise42L\2022_02_26_160413.jpg,48.561215762386595,7.519076571866722
FRAMES/LEFT\prise42L\2022_02_26_160423.jpg,48.56147919191919,7.520391235678338
FRAMES/LEFT\prise42L\2022_02_26_160433.jpg,48.561713063388765,7.521881826556125
FRAMES/LEFT\prise42L\2022_02_26_160443.jpg,48.56200735182659,7.52315418246405
FRAMES/LEFT\prise42L\2022_02_26_160453.jpg,48.56242128255852,7.524490062406729
FRAMES/LEFT\prise42L\2022_02_26_160503.jpg,48.5625240552599,7.5257143599335
FRAMES/LEFT\prise42L\2022_02_26_160513.jpg,48.562136386386385,7.526795307146354
FRAMES/LEFT\prise42L\2022_02_26_160523.jpg,48.56190257600215,7.528008362828787
FRAMES/LEFT\prise42L\2022_02_26_160533.jpg,48.56161316769496,7.528318509396096
FRAMES/LEFT\prise42L\2022_02_26_160543.jpg,48.560932141363445,7.5281438695804805
FRAMES/LEFT\prise42L\2022_02_26_160553.jpg,48.560349664688566,7.5278248868601745
FRAMES/LEFT\prise42L\2022_02_26_160603.jpg,48.56021414763803,7.527763956639566
FRAMES/LEFT\prise42L\2022_02_26_160613.jpg,48.56022520507084,7.527774719854798
FRAMES/LEFT\prise42L\2022_02_26_160623.jpg,48.56023048760193,7.527768203756164
FRAMES/LEFT\prise42L\2022_02_26_160633.jpg,48.560475912749325,7.527939856150794
FRAMES/LEFT\prise42L\2022_02_26_160643.jpg,48.561105802164676,7.5282307904919845
FRAMES/LEFT\prise42L\2022_02_26_160653.jpg,48.561741322600184,7.528461922596754
FRAMES/LEFT\prise42L\2022_02_26_160703.jpg,48.562006734584855,7.527685826408126
FRAMES/LEFT\prise42L\2022_02_26_160713.jpg,48.56226417647855,7.526495390240026
FRAMES/LEFT\prise42L\2022_02_26_160723.jpg,48.56263208974865,7.52541933418694
FRAMES/LEFT\prise42L\2022_02_26_160733.jpg,48.5623751004016,7.524232203575737
FRAMES/LEFT\prise42L\2022_02_26_160743.jpg,48.561965757012906,7.523047672754615
FRAMES/LEFT\prise42L\2022_02_26_160753.jpg,48.56171152860177,7.5217405039629135
FRAMES/LEFT\prise42L\2022_02_26_160803.jpg,48.56149574746483,7.52038158946527
FRAMES/LEFT\prise42L\2022_02_26_160813.jpg,48.56120811111111,7.519034310542104
FRAMES/LEFT\prise42L\2022_02_26_160823.jpg,48.560887152777774,7.517568660968661
